INFO 2020-04-18 13:17:54,357 autoreload 17084 19904 Watching for file changes with StatReloader
DEBUG 2020-04-18 13:17:54,358 autoreload 17084 19904 Waiting for apps ready_event.
DEBUG 2020-04-18 13:17:54,363 autoreload 17084 19904 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2020-04-18 13:17:54,367 autoreload 17084 19904 Watching dir C:\Users\swsh\Desktop\Projects\djangoLogging\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,369 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,369 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,376 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,376 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,376 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,376 autoreload 17084 19904 Watching dir C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,376 autoreload 17084 19904 Watching dir C:\Users\swsh\Desktop\Projects\djangoLogging\firstAPI\locale with glob **/*.mo.
DEBUG 2020-04-18 13:17:54,466 utils 17084 13256 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2020-04-18 13:17:54,589 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1578290769.431641
DEBUG 2020-04-18 13:17:54,590 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\struct.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,590 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\asyncio\events.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,590 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\template\library.py first seen with mtime 1578290776.1995435
DEBUG 2020-04-18 13:17:54,590 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\asyncio\subprocess.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,591 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1578290776.0728755
